visitor_id,district ,month,year,domestic_visitors,foreign_visitors
visitor-2,Adilabad,January,2014,792136,5
visitor-3,Adilabad,February,2014,937820,6
visitor-4,Adilabad,March,2014,582946,5
visitor-5,Adilabad,April,2014,341948,6
visitor-6,Adilabad,May,2014,252887,6
visitor-7,Adilabad,June,2014,368237,7
visitor-8,Adilabad,July,2014,447562,7
visitor-9,Adilabad,August,2014,614285,5
visitor-10,Adilabad,September,2014,491279,8
visitor-11,Adilabad,October,2014,94184,8
visitor-12,Adilabad,November,2014,99148,8
visitor-13,Adilabad,December,2014,53125,9
visitor-14,Bhadradri Kothagudem ,January,2014,0,0
visitor-15,Bhadradri Kothagudem ,February,2014,0,0
visitor-16,Bhadradri Kothagudem ,March,2014,0,0
visitor-17,Bhadradri Kothagudem ,April,2014,0,0
visitor-18,Bhadradri Kothagudem ,May,2014,0,0
visitor-19,Bhadradri Kothagudem ,June,2014,0,0
visitor-20,Bhadradri Kothagudem ,July,2014,0,0
visitor-21,Bhadradri Kothagudem ,August,2014,0,0
visitor-22,Bhadradri Kothagudem ,September,2014,0,0
visitor-23,Bhadradri Kothagudem ,October,2014,310133,0
visitor-24,Bhadradri Kothagudem ,November,2014,252127,0
visitor-25,Bhadradri Kothagudem ,December,2014,326770,0
visitor-26,Hyderabad,January,2014,1122510,0
visitor-27,Hyderabad,February,2014,778748,0
visitor-28,Hyderabad,March,2014,1017794,0
visitor-29,Hyderabad,April,2014,1127738,0
visitor-30,Hyderabad,May,2014,1287181,0
visitor-31,Hyderabad,June,2014,12032661,0
visitor-32,Hyderabad,July,2014,1096754,0
visitor-33,Hyderabad,August,2014,1061137,0
visitor-34,Hyderabad,September,2014,832987,0
visitor-35,Hyderabad,October,2014,901960,0
visitor-36,Hyderabad,November,2014,909733,0
visitor-37,Hyderabad,December,2014,1225502,0
visitor-38,Jagtial ,January,2014,0,0
visitor-39,Jagtial ,February,2014,0,0
visitor-40,Jagtial ,March,2014,0,0
visitor-41,Jagtial ,April,2014,0,0
visitor-42,Jagtial ,May,2014,0,0
visitor-43,Jagtial ,June,2014,0,0
visitor-44,Jagtial ,July,2014,0,0
visitor-45,Jagtial ,August,2014,0,0
visitor-46,Jagtial ,September,2014,0,0
visitor-47,Jagtial ,October,2014,201249,0
visitor-48,Jagtial ,November,2014,214534,0
visitor-49,Jagtial ,December,2014,207294,0
visitor-50,Jangaon ,January,2014,0,0
visitor-51,Jangaon ,February,2014,0,0
visitor-52,Jangaon ,March,2014,0,0
visitor-53,Jangaon ,April,2014,0,0
visitor-54,Jangaon ,May,2014,0,0
visitor-55,Jangaon ,June,2014,0,0
visitor-56,Jangaon ,July,2014,0,0
visitor-57,Jangaon ,August,2014,0,0
visitor-58,Jangaon ,September,2014,0,0
visitor-59,Jangaon ,October,2014,14770,0
visitor-60,Jangaon ,November,2014,13210,0
visitor-61,Jangaon ,December,2014,12680,0
visitor-62,Jayashankar Bhupalpally,January,2014,0,0
visitor-63,Jayashankar Bhupalpally,February,2014,0,0
visitor-64,Jayashankar Bhupalpally,March,2014,0,0
visitor-65,Jayashankar Bhupalpally,April,2014,0,0
visitor-66,Jayashankar Bhupalpally,May,2014,0,0
visitor-67,Jayashankar Bhupalpally,June,2014,0,0
visitor-68,Jayashankar Bhupalpally,July,2014,0,0
visitor-69,Jayashankar Bhupalpally,August,2014,0,0
visitor-70,Jayashankar Bhupalpally,September,2014,0,0
visitor-71,Jayashankar Bhupalpally,October,2014,76360,0
visitor-72,Jayashankar Bhupalpally,November,2014,81580,0
visitor-73,Jayashankar Bhupalpally,December,2014,85460,0
visitor-74,Jogulamba Gadwal ,January,2014,0,0
visitor-75,Jogulamba Gadwal ,February,2014,0,0
visitor-76,Jogulamba Gadwal ,March,2014,0,0
